Collecting system stats...
top - 01:30:46 up 5 min,  0 users,  load average: 1.09, 0.54, 0.23
Tasks: 135 total,   2 running, 133 sleeping,   0 stopped,   0 zombie
%Cpu(s): 50.0 us,  6.7 sy,  0.0 ni, 43.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3876.5 total,   2289.0 free,    811.0 used,    776.6 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2865.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3240 root      20   0  658400 112712  33040 R 123.5   2.8   0:02.15 node
      1 root      20   0  166348  11724   8436 S   0.0   0.3   0:01.78 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      7 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.05 ksoftir+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.24 rcu_sch+
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     17 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     20 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.22 migrati+
     22 root      20   0       0      0      0 S   0.0   0.0   0:00.07 ksoftir+
     23 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_fr+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     29 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     33 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kcompac+
     35 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     36 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     82 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
     83 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     84 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
     87 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     91 root      20   0       0      0      0 I   0.0   0.0   0:00.40 kworker+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker+
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
     95 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
     99 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
    100 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    102 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    104 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
    105 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    107 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    119 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
    120 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    148 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker+
    172 root      20   0       0      0      0 S   0.0   0.0   0:00.00 hwrng
    173 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    238 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 raid5wq
    285 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/vd+
    286 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    363 root      19  -1   87472  40952  39896 S   0.0   1.0   0:00.24 systemd+
    385 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kaluad
    386 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmpath_+
    395 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmpathd
    396 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmpath_+
    397 root      rt   0  289316  27100   9072 S   0.0   0.7   0:00.04 multipa+
    400 root      20   0   23044   6516   4648 S   0.0   0.2   0:00.23 systemd+
    482 systemd+  20   0   89360   6572   5768 S   0.0   0.2   0:00.04 systemd+
    486 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
    558 systemd+  20   0   16248   8520   7480 S   0.0   0.2   0:00.03 systemd+
    560 systemd+  20   0   25536  12356   8164 S   0.0   0.3   0:00.12 systemd+
    573 root      20   0    7288   2740   2496 S   0.0   0.1   0:00.00 cron
    575 message+  20   0    8656   4708   4024 S   0.0   0.1   0:00.01 dbus-da+
    581 root      20   0   82700   4088   3744 S   0.0   0.1   0:00.04 irqbala+
    582 root      20   0   33080  18964  10324 S   0.0   0.5   0:00.21 network+
    586 syslog    20   0  222404   5512   4428 S   0.0   0.1   0:00.07 rsyslogd
    588 root      20   0 1319208  30640  19236 S   0.0   0.8   0:03.08 snapd
    590 root      20   0   15024   7448   6508 S   0.0   0.2   0:00.04 systemd+
    603 root      20   0    6220   1112   1020 S   0.0   0.0   0:00.00 agetty
    609 root      20   0    6176   1100   1016 S   0.0   0.0   0:00.01 agetty
    619 root      20   0   15436   9388   7756 S   0.0   0.2   0:00.03 sshd
    631 root      20   0   55224   1676     40 S   0.0   0.0   0:00.00 nginx
    637 www-data  20   0   55856   5584   3684 S   0.0   0.1   0:00.00 nginx
    639 www-data  20   0   55856   5584   3684 S   0.0   0.1   0:00.00 nginx
    641 root      20   0  110104  21620  13492 S   0.0   0.5   0:00.11 unatten+
    651 postgres  20   0  218728  30272  27512 S   0.0   0.8   0:00.13 postgres
    654 root      20   0  235484   8264   6964 S   0.0   0.2   0:00.01 polkitd
    658 postgres  20   0  218840   9736   6932 S   0.0   0.2   0:00.00 postgres
    659 postgres  20   0  218728   6968   4208 S   0.0   0.2   0:00.01 postgres
    660 postgres  20   0  218728  11680   8904 S   0.0   0.3   0:00.01 postgres
    661 postgres  20   0  219264   9604   6556 S   0.0   0.2   0:00.00 postgres
    662 postgres  20   0   73452   6976   4204 S   0.0   0.2   0:00.00 postgres
    663 postgres  20   0  219156   7768   4824 S   0.0   0.2   0:00.00 postgres
    670 root      20   0  906752  68720  33904 S   0.0   1.7   0:02.25 PM2 v5.+
    690 root      20   0  634568  57124  33784 S   0.0   1.4   0:01.52 node /v+
    691 root      20   0  633652  55128  33752 S   0.0   1.4   0:01.33 node /s+
    754 root      20   0   44452  32368   4556 S   0.0   0.8   0:00.21 miniser+
   1313 root      20   0    5696   4868   3164 S   0.0   0.1   0:00.01 bash
   1314 root      20   0   26968  22616   3520 S   0.0   0.6   0:00.02 shellse+
   1339 root      20   0   44740  35556   7484 S   0.0   0.9   0:00.01 miniser+
   2150 root      20   0   15436   8728   7208 S   0.0   0.2   0:00.00 sshd
   2651 root      20   0    7228   1388   1204 S   0.0   0.0   0:00.00 git
   2662 root      20   0   31128  18048   5788 S   0.0   0.5   0:00.01 gunicorn
   2664 root      20   0   66424  52704  10852 S   0.0   1.3   0:00.44 gunicorn
   2667 root      20   0    2892    960    868 S   0.0   0.0   0:00.00 sh
   2668 root      20   0    4364   3384   3112 S   0.0   0.1   0:00.00 update_+
   2796 root      20   0  708796  58376  35824 S   0.0   1.5   0:00.42 npm sta+
   2807 root      20   0    2896   1008    908 S   0.0   0.0   0:00.00 sh
   2808 root      20   0  591180  39320  31052 S   0.0   1.0   0:00.11 node
   2815 root      20   0   32.0g 225788  34876 S   0.0   5.7   0:05.36 node
   2822 root      20   0   15436   8680   7152 S   0.0   0.2   0:00.00 sshd
   2861 root      20   0    2892    956    864 S   0.0   0.0   0:00.00 sh
   2862 root      20   0    4496   3412   3008 S   0.0   0.1   0:00.00 bash
   2865 root      20   0    4364   1748   1460 S   0.0   0.0   0:00.00 bash
   2867 root      20   0    2796   1040    948 S   0.0   0.0   0:00.00 tee
   2873 root      20   0    2892    980    888 S   0.0   0.0   0:00.00 sh
   2874 root      20   0    4364   3348   3076 S   0.0   0.1   0:00.00 update_+
   2959 root      20   0   14696   6332   5544 S   0.0   0.2   0:00.06 systemd+
   3196 root      20   0  701436  58968  35844 S   0.0   1.5   0:00.84 npm run+
   3230 root      20   0    2896    980    888 S   0.0   0.0   0:00.00 sh
   3231 root      20   0  591180  40012  31688 S   0.0   1.0   0:00.14 node
   3252 root      20   0   49108  40088   7616 S   0.0   1.0   0:00.15 /usr/sh+
   3253 root      20   0   47500  32812   2052 S   0.0   0.8   0:00.00 /usr/sh+
   3254 root      20   0    2892   1004    908 S   0.0   0.0   0:00.00 sh
   3255 root      20   0    6432   1556   1332 S   0.0   0.0   0:00.00 vmstat
   3261 root      20   0    7368   3568   2968 R   0.0   0.1   0:00.00 top
Filesystem      Size  Used Avail Use% Mounted on
tmpfs           388M  1.0M  387M   1% /run
/dev/vda1        97G  5.2G   92G   6% /
tmpfs           1.9G   28K  1.9G   1% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
/dev/vda15      105M  6.1M   99M   6% /boot/efi
               total        used        free      shared  buff/cache   available
Mem:            3876         811        2288          17         776        2865
Swap:              0           0           0
